SMILE,Source,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
COc1ccc(COc2cc(-n3cnc4cc(OC)c(OC)cc43)sc2C(N)=O)cc1,CHEMBL,active,439.493,3.7907,1,8,7.886056648
CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2Cl)NC3=NC=C4C(=N3)N(CC(C(=O)N4C)(F)F)C5CCCC5)OC,Pubchem,active,578.064,4.0669,2,8,9
C1=CC=C(C(=C1)COC2=C(SC(=C2)N3C=NC4=C3C=CC(=C4)C(F)(F)F)C(=O)N)Br,Pubchem,active,496.308,5.5462,1,5,6.522878745
CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cn(CCCCCCCCc2ccccc2)nn1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(N)=O)[C@@H](C)OP(=O)(O)O,CHEMBL,active,863.951,0.3755,8,12,7.769551079
CC(=O)C1=C(C=CC(=C1)N2CCN(CC2)C)NC3=NC=C4CCC5=C(C4=N3)N(N=C5C(=O)N)C,Pubchem,active,460.542,1.7726,2,9,6.333482019
CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C4CC(=O)NC5=C(C4=N3)C=CC(=C5)Cl,Pubchem,active,434.931,3.787,2,6,6.585026652
C[C@H](C1=CC=CC=C1Cl)OC2=C(SC(=C2)N3C=NC4=CC(=C(C=C43)OC)OC)C(=O)N,Pubchem,active,457.939,4.9965,1,7,9.096910013
CN1CCN(CC1)C2=CC(=C(C=C2)OC(F)(F)F)NC3=NC=CC(=N3)C4=CC(=CN4CC(F)(F)F)C(=O)N,Pubchem,active,543.472,4.0003,2,8,7.744727495
C[C@@H](C1=CC=CC=C1)NC2=NC=C3C(=C2)C(=NO3)C4=CC(=CC(=C4)CCCO)Cl,Pubchem,active,407.901,5.6412,2,5,7.004364805
C[C@H]([C@@H](C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CN=CN1CCCCCO/N=C/C2=CSC(=N2)N(C3=CC=CC=C3)C(=O)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]4CCCN4C(=O)C)OP(=O)(O)O,Pubchem,active,1004.074,0.7593,8,16,6.924453039
C[C@H](C1=CC=CC=C1Cl)OC2=C(SC(=C2)N3C=NC4=C3C=CC(=C4)C5=CN=C(C=C5)NC6CCN(CC6)C)C(=O)N,Pubchem,active,587.149,6.5474,2,8,8.698970004
C[C@@H](C1=CC=CC=C1Cl)OC2=C(SC(=C2)N3C=NC4=CC(=C(C=C43)OC)OC)C(=O)N,Pubchem,active,457.939,4.9965,1,7,7.522878745
